City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,80.31,light rain,-23.1203,-134.9692,Pension Maro'i
15,Busselton,AU,75.11,overcast clouds,-33.65,115.3333,Observatory Guest House
20,Arraial Do Cabo,BR,75.2,light rain,-22.9661,-42.0278,Pousada Porto Praia
26,Hatillo,PR,75.99,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
34,Atuona,PF,79.16,clear sky,-9.8,-139.0333,Villa Enata
39,Wonthaggi,AU,75.0,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
41,Boa Vista,BR,84.2,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
42,Yurimaguas,PE,79.02,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
44,Kupang,ID,82.4,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
47,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
48,Dubbo,AU,75.2,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
49,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
53,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Kapaa,US,78.8,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
63,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
64,Amahai,ID,82.38,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
65,Geraldton,AU,78.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
69,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Saint-Georges,GD,78.8,scattered clouds,12.0564,-61.7485,Siesta Hotel
79,Luwuk,ID,84.43,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
82,Meulaboh,ID,77.13,broken clouds,4.1363,96.1285,Kost Pria
85,Nhulunbuy,AU,84.2,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
91,Bambous Virieux,MU,75.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
93,Angoram,PG,79.18,overcast clouds,-4.0625,144.0661,
95,Sawtell,AU,78.01,broken clouds,-30.3833,153.1,Island Beach House Sawtell
96,Butaritari,KI,80.08,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
98,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.1667,Hotel Cortez
99,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
104,Port Blair,IN,77.0,mist,11.6667,92.75,Welcomhotel Bay Island Port Blair
109,Sinnamary,GF,77.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
123,Vao,NC,79.79,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
