City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,17.6,73,20,9.22,few clouds
1,Itoman,JP,26.1247,127.6694,68.0,64,40,20.71,scattered clouds
2,Komatipoort,ZA,-25.4332,31.9548,73.0,98,78,7.25,light rain
3,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,10.36,light snow
4,Turbat,PK,26.0023,63.044,60.42,51,0,4.07,clear sky
5,Cherskiy,RU,68.75,161.3,-5.19,91,92,2.21,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,50.0,62,40,12.66,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,80.31,76,99,15.93,light rain
8,Goderich,CA,43.7501,-81.7165,17.6,73,100,8.05,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,59.0,75,100,11.01,overcast clouds
10,Feuchtwangen,DE,49.1667,10.3333,21.2,86,1,5.75,clear sky
11,Qaanaaq,GL,77.484,-69.3632,6.84,90,99,3.96,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,50.0,66,40,17.27,scattered clouds
13,Chokurdakh,RU,70.6333,147.9167,-7.49,90,100,12.41,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,69.01,95,100,3.0,light rain
15,Busselton,AU,-33.65,115.3333,75.11,59,100,7.2,overcast clouds
16,Kamaishi,JP,39.2667,141.8833,37.4,87,75,2.3,moderate rain
17,Abu Kamal,SY,34.4506,40.9171,57.43,47,0,8.37,clear sky
18,San Ramon,US,37.7799,-121.978,55.4,58,90,6.91,overcast clouds
19,Baruun-Urt,MN,46.6806,113.2792,-7.01,86,100,7.2,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,88,0,5.75,light rain
21,Airai,TL,-8.9266,125.4092,68.65,86,93,3.02,overcast clouds
22,Riccione,IT,44.0051,12.6447,33.01,59,20,6.91,few clouds
23,Barrow,US,71.2906,-156.7887,-11.2,70,90,5.75,overcast clouds
24,Nikolskoye,RU,59.7035,30.7861,3.2,78,75,8.95,light snow
25,Phalaborwa,ZA,-23.943,31.1411,73.4,94,100,5.75,light rain
26,Hatillo,PR,18.4863,-66.8254,75.99,78,40,11.5,scattered clouds
27,Mandalgovi,MN,45.7625,106.2708,16.88,84,81,21.41,broken clouds
28,Torbay,CA,47.6666,-52.7314,23.0,79,75,11.5,broken clouds
29,Taitung,TW,22.7583,121.1444,64.4,88,75,4.61,broken clouds
30,Mehamn,NO,71.0357,27.8492,25.27,96,100,9.1,light snow
31,Saldanha,ZA,-33.0117,17.9442,64.4,77,0,5.75,clear sky
32,Tommot,RU,58.9564,126.2925,-12.95,85,100,5.86,overcast clouds
33,San Jose,US,37.3394,-121.895,57.2,47,90,3.0,overcast clouds
34,Atuona,PF,-9.8,-139.0333,79.16,73,1,11.27,clear sky
35,Faya,SA,18.3851,42.4509,57.2,62,0,8.05,clear sky
36,Oschersleben,DE,52.0333,11.25,15.01,88,100,3.0,overcast clouds
37,Albany,US,42.6001,-73.9662,26.01,58,100,5.01,overcast clouds
38,Hobart,AU,-42.8794,147.3294,64.0,72,75,5.75,broken clouds
39,Wonthaggi,AU,-38.6044,145.5913,75.0,65,2,11.48,clear sky
40,Victoria,HK,22.2855,114.1577,69.01,75,0,4.12,clear sky
41,Boa Vista,BR,2.8197,-60.6733,84.2,58,40,11.5,scattered clouds
42,Yurimaguas,PE,-5.9,-76.0833,79.02,77,100,1.68,overcast clouds
43,Esperance,AU,-33.8667,121.9,69.8,56,21,12.66,few clouds
44,Kupang,ID,-10.1667,123.5833,82.4,94,40,8.05,scattered clouds
45,Hermanus,ZA,-34.4187,19.2345,63.0,74,70,3.0,broken clouds
46,Constitucion,CL,-35.3333,-72.4167,57.36,84,0,7.81,clear sky
